@Relation TASKDATA1
@Attribute Vintage_Cars {'?',Y}
@Attribute Classic_Cars {'?',Y}
@Attribute Trucks_and_Buses {'?',Y}
@Attribute Trains {'?',Y}
@Attribute Ships {'?',Y}
@Attribute Planes {'?',Y}
@Attribute Motorcycles {'?',Y}

@data
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,?,?,?,Y,Y,?
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,?,?,Y,?,?,?
Y,Y,?,Y,Y,?,?
?,?,?,?,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,?,?,Y,Y,?,?
Y,Y,?,?,Y,?,?
Y,?,?,?,Y,?,?
Y,?,?,?,Y,Y,?
?,?,?,?,?,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,?,?
?,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,?,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,?,?,?,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,?,?,?,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,?,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,?
?,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,?
Y,?,?,?,?,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,?,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,?,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
?,Y,?,?,?,?,?
Y,?,?,Y,Y,?,?
Y,?,?,?,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,?,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,?,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,?,?
Y,?,?,?,Y,Y,?
?,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,?,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,?,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,?
?,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
?,?,?,?,Y,?,?
Y,Y,?,?,Y,?,?
Y,?,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,Y,Y,Y,?,?
Y,?,?,?,Y,?,?
Y,Y,?,?,Y,Y,?
?,?,?,?,?,Y,?
?,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
Y,?,Y,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,Y,?,?,?
Y,?,?,Y,Y,?,?
?,?,?,?,Y,Y,?
Y,?,?,?,Y,Y,?
?,Y,?,?,?,Y,Y
?,Y,?,?,?,?,Y
Y,Y,?,?,?,?,Y
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,?,?,?,Y,Y,?
Y,?,?,?,Y,Y,Y
Y,?,?,?,?,Y,Y
?,Y,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,Y
Y,Y,?,?,?,?,?
Y,?,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,?,?,?,?
Y,Y,Y,Y,Y,?,?
Y,?,?,?,?,Y,?
?,?,?,?,Y,Y,?
Y,?,?,?,?,Y,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,Y
Y,Y,?,?,?,?,Y
Y,Y,Y,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,?,?,Y,Y,Y,?
Y,?,?,?,Y,Y,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,?,?,?,?,?,Y
?,Y,?,?,?,?,Y
?,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
?,Y,Y,Y,?,?,?
Y,Y,?,Y,Y,?,?
Y,Y,?,?,Y,Y,?
?,?,?,?,?,Y,Y
Y,Y,?,?,?,Y,Y
?,Y,?,?,?,?,?
?,Y,?,?,?,?,?
?,Y,?,?,?,?,Y
Y,Y,?,?,?,?,?
Y,Y,?,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,?,?,?,?
Y,Y,Y,Y,?,?,?
Y,Y,?,?,Y,?,?
Y,?,?,?,Y,?,?
Y,?,?,?,Y,Y,?
?,?,?,?,?,?,Y
