TIME_ID;MONTH_ID;QTR_ID;YEAR_ID;MONTH_NAME;MONTH_DESC;QTR_NAME;QTR_DESC
2003-04-01;4;2;2003;Apr;April;QTR2;Quarter 2
2003-05-07;5;2;2003;May;May;QTR2;Quarter 2
2003-05-08;5;2;2003;May;May;QTR2;Quarter 2
2003-05-20;5;2;2003;May;May;QTR2;Quarter 2
2003-07-01;7;3;2003;Jul;July;QTR3;Quarter 3
2003-07-04;7;3;2003;Jul;July;QTR3;Quarter 3
2003-07-10;7;3;2003;Jul;July;QTR3;Quarter 3
2003-11-08;11;4;2003;Nov;November;QTR4;Quarter 4
2003-11-11;11;4;2003;Nov;November;QTR4;Quarter 4
2003-11-25;11;4;2003;Nov;November;QTR4;Quarter 4
2004-01-02;1;1;2004;Jan;January;QTR1;Quarter 1
2004-01-15;1;1;2004;Jan;January;QTR1;Quarter 1
2004-02-02;2;1;2004;Feb;February;QTR1;Quarter 1
2004-02-21;2;1;2004;Feb;February;QTR1;Quarter 1
2004-03-02;3;1;2004;Mar;March;QTR1;Quarter 1
2004-04-13;4;2;2004;Apr;April;QTR2;Quarter 2
2004-05-26;5;2;2004;May;May;QTR2;Quarter 2
2004-06-04;6;2;2004;Jun;June;QTR2;Quarter 2
2004-07-23;7;3;2004;Jul;July;QTR3;Quarter 3
2004-08-28;8;3;2004;Aug;August;QTR3;Quarter 3
2004-09-27;9;3;2004;Sep;September;QTR3;Quarter 3
2004-10-11;10;4;2004;Oct;October;QTR4;Quarter 4
2004-10-29;10;4;2004;Oct;October;QTR4;Quarter 4
2004-11-20;11;4;2004;Nov;November;QTR4;Quarter 4
2004-11-24;11;4;2004;Nov;November;QTR4;Quarter 4
2004-11-25;11;4;2004;Nov;November;QTR4;Quarter 4
2004-12-09;12;4;2004;Dec;December;QTR4;Quarter 4
2004-12-15;12;4;2004;Dec;December;QTR4;Quarter 4
2005-01-06;1;1;2005;Jan;January;QTR1;Quarter 1
2005-02-03;2;1;2005;Feb;February;QTR1;Quarter 1
2005-03-17;3;1;2005;Mar;March;QTR1;Quarter 1
2005-03-28;3;1;2005;Mar;March;QTR1;Quarter 1
2005-03-30;3;1;2005;Mar;March;QTR1;Quarter 1
2005-04-07;4;2;2005;Apr;April;QTR2;Quarter 2
2005-04-14;4;2;2005;Apr;April;QTR2;Quarter 2
2005-05-31;5;2;2005;May;May;QTR2;Quarter 2
